CNTSCHID,n_stu,n_escs,w_sum,STRATUM_stu,REGION_stu,SUBNATIO_stu,escs_mean,math_mean,read_mean,scie_mean,CNT,STRATUM,SUBNATIO,REGION,SC001Q01TA,SC002Q01TA_P,SC002Q02TA_P,SC003Q01TA,SC013Q01TA,W_NRASCHBWT,region_label,stratum_label,school_type,community,class_size,grupo_geo,sector_final,sector_fuente
03200137,35,34,4218.743153365159,ARG11,3200,320000,-1.085330647181335,314.48814922022234,339.4949671836524,353.95709620457217,ARG,ARG11,320000,3200,4.0,46.0,54.0,9.0,1.0,67.170730488,Rest of Country,"NEA, Public",Public,City (100k-1M),>50,Resto del país,Pública,Cuestionario directivo
03200138,8,7,2031.8867721149752,ARG11,3200,320000,-1.052488688199423,375.1796045914946,410.1840857748809,408.2682398237112,ARG,ARG11,320000,3200,1.0,52.0,48.0,1.0,1.0,237.9763023,Rest of Country,"NEA, Public",Public,Village/rural (<3k),≤15,Resto del país,Pública,Cuestionario directivo
03200139,34,33,510.7718194223348,ARG02,3201,320100,0.701247062651996,476.9774483382501,484.812182389538,499.9478902183435,ARG,ARG02,320100,3201,,,,,,4.9265901961,CABA,"CABA, Private",No response,No response,No response,CABA,Privada,Estrato muestral (imputado)
03200140,33,33,4561.878310656004,ARG06,3200,320000,-0.0637653377129229,450.4566128095237,482.6357989528663,483.3564811237481,ARG,ARG06,320000,3200,3.0,45.0,55.0,9.0,2.0,74.292884481,Rest of Country,"Rest of Buenos Aires, Private",Private,Town (15-100k),>50,Buenos Aires,Privada,Cuestionario directivo
03200141,26,22,3839.07016664594,ARG04,3200,320000,0.1767152351096342,437.944838016145,459.9816723466148,466.4316774898269,ARG,ARG04,320000,3200,4.0,47.0,53.0,9.0,2.0,51.475918008,Rest of Country,"24 Depts Buenos Aires, Private",Private,City (100k-1M),>50,Buenos Aires,Privada,Cuestionario directivo
03200142,30,27,439.3102228070372,ARG01,3201,320100,-0.5831335167966255,347.0255105034611,359.5405036015863,372.0252729397029,ARG,ARG01,320100,3201,,,,,,4.7711792453,CABA,"CABA, Public",No response,No response,No response,CABA,Pública,Estrato muestral (imputado)
03200143,35,34,983.5252350178664,ARG08,3202,320200,-0.0331322021832322,427.6585584453813,457.9857265574925,486.73127162475646,ARG,ARG08,320200,3202,5.0,52.0,48.0,5.0,2.0,9.8717012987,Cordoba,"Cordoba, Private",Private,Large city (1-10M),31-35,Córdoba,Privada,Cuestionario directivo
03200144,28,23,3443.3685669056854,ARG11,3200,320000,-1.3487913137222542,263.21408723414163,292.3803039851477,274.865655570407,ARG,ARG11,320000,3200,3.0,53.0,47.0,7.0,1.0,99.156792625,Rest of Country,"NEA, Public",Public,Town (15-100k),41-45,Resto del país,Pública,Cuestionario directivo
03200145,28,20,2500.275938810594,ARG11,3200,320000,-1.0218794076999378,282.24620341143884,334.0871045519315,292.92763688828575,ARG,ARG11,320000,3200,4.0,47.0,53.0,9.0,1.0,25.393812745,Rest of Country,"NEA, Public",Public,City (100k-1M),>50,Resto del país,Pública,Cuestionario directivo
03200146,32,26,787.8171364510151,ARG01,3201,320100,-1.464688460819032,356.88268218048006,372.1147363246805,385.4599508033227,ARG,ARG01,320100,3201,5.0,48.0,52.0,4.0,1.0,5.880755814,CABA,"CABA, Public",Public,Large city (1-10M),26-30,CABA,Pública,Cuestionario directivo
03200147,23,21,319.94629858407075,ARG20,3203,320300,-0.1602102772196302,362.0405394894742,387.8112975083101,397.3678822643896,ARG,ARG20,320300,3203,4.0,47.0,53.0,9.0,2.0,11.775,Mendoza,"Mendoza, Private",Private,City (100k-1M),>50,Resto del país,Privada,Cuestionario directivo
03200148,28,25,3825.2843591732926,ARG17,3200,320000,-0.247995298854269,370.329900445645,388.4858967025266,394.0007802083662,ARG,ARG17,320000,3200,2.0,52.0,48.0,4.0,2.0,62.912452862,Rest of Country,"Patagonia, Public",Private,Small town (3-15k),26-30,Resto del país,Privada,Cuestionario directivo
03200149,33,31,433.097458714332,ARG02,3201,320100,0.4132974588075234,431.9406917106238,448.5350865894443,458.69553281056017,ARG,ARG02,320100,3201,,,,,,4.2949760684,CABA,"CABA, Private",No response,No response,No response,CABA,Privada,Estrato muestral (imputado)
03200150,18,12,268.0709682978239,ARG19,3203,320300,-0.8918611366294804,297.20068844677246,328.4421693651965,315.1439936459036,ARG,ARG19,320300,3203,1.0,52.0,48.0,4.0,1.0,11.731608571,Mendoza,"Mendoza, Public",Public,Village/rural (<3k),26-30,Resto del país,Pública,Cuestionario directivo
03200151,28,24,1974.2909521059355,ARG09,3200,320000,-1.7403005482549587,344.97395982993214,341.8486322848437,368.1983261572476,ARG,ARG09,320000,3200,5.0,45.0,55.0,8.0,1.0,49.106185965,Rest of Country,"Santa Fe, Public",Public,Large city (1-10M),46-50,Santa Fe,Pública,Cuestionario directivo
03200152,24,23,3356.9275442632143,ARG17,3200,320000,-0.6827284398226466,372.564957084063,414.88763006996015,358.4542159313165,ARG,ARG17,320000,3200,4.0,40.0,60.0,9.0,1.0,21.997361141,Rest of Country,"Patagonia, Public",Public,City (100k-1M),>50,Resto del país,Pública,Cuestionario directivo
03200153,31,28,563.4400546238553,ARG07,3202,320200,-1.2367671138026926,392.7292522508623,409.7377132639567,427.72254746384544,ARG,ARG07,320200,3202,4.0,67.0,33.0,4.0,1.0,4.3241850299,Cordoba,"Cordoba, Public",Public,City (100k-1M),26-30,Córdoba,Pública,Cuestionario directivo
