CNT,CNTSCHID,STRATUM,SUBNATIO,REGION,SC001Q01TA,SC002Q01TA_P,SC002Q02TA_P,SC003Q01TA,SC013Q01TA,W_NRASCHBWT
ARG,03200325,ARG03,0320000,03200,2.0,48.0,52.0,9.0,1.0,52.931496839
ARG,03200326,ARG03,0320000,03200,4.0,53.0,47.0,6.0,1.0,92.252037347
ARG,03200327,ARG02,0320100,03201,6.0,41.0,59.0,9.0,2.0,13.958672222
ARG,03200328,ARG19,0320300,03203,4.0,44.0,56.0,9.0,1.0,2.022691133
ARG,03200329,ARG16,0320000,03200,4.0,46.0,54.0,4.0,2.0,33.470238095
ARG,03200330,ARG05,0320000,03200,1.0,53.0,47.0,3.0,1.0,109.54279277
ARG,03200331,ARG17,0320000,03200,3.0,70.0,30.0,9.0,1.0,37.447888608
ARG,03200332,ARG19,0320300,03203,,,,,,5.7831873239
ARG,03200333,ARG08,0320200,03202,5.0,50.0,50.0,5.0,2.0,12.260016129
ARG,03200334,ARG05,0320000,03200,3.0,71.0,29.0,5.0,1.0,20.612891112
ARG,03200335,ARG19,0320300,03203,2.0,58.0,42.0,5.0,1.0,11.731608571
ARG,03200336,ARG07,0320200,03202,3.0,48.0,52.0,9.0,1.0,4.599610828
ARG,03200337,ARG02,0320100,03201,5.0,53.0,47.0,9.0,2.0,11.686330233
ARG,03200338,ARG04,0320000,03200,4.0,44.0,56.0,6.0,2.0,92.656652414
ARG,03200339,ARG03,0320000,03200,4.0,49.0,51.0,9.0,1.0,33.987592707
ARG,03200340,ARG17,0320000,03200,2.0,45.0,55.0,9.0,1.0,49.930518144
ARG,03200341,ARG11,0320000,03200,1.0,38.0,62.0,9.0,1.0,68.229234884
ARG,03200342,ARG19,0320300,03203,4.0,30.0,70.0,9.0,1.0,2.1725201058
ARG,03200343,ARG11,0320000,03200,4.0,37.0,63.0,9.0,1.0,18.106892566
ARG,03200344,ARG11,0320000,03200,3.0,49.0,51.0,9.0,1.0,38.207204498
ARG,03200345,ARG01,0320100,03201,6.0,87.0,13.0,9.0,1.0,3.2213057325
ARG,03200346,ARG09,0320000,03200,2.0,,,9.0,1.0,69.976315
ARG,03200347,ARG02,0320100,03201,,,,,,7.976384127
ARG,03200348,ARG02,0320100,03201,5.0,38.0,63.0,8.0,2.0,14.357491429
ARG,03200349,ARG02,0320100,03201,6.0,49.0,51.0,4.0,2.0,8.1050354839
ARG,03200350,ARG20,0320300,03203,,,,,,6.86875
ARG,03200351,ARG13,0320000,03200,3.0,51.0,49.0,8.0,1.0,26.572379837
ARG,03200352,ARG19,0320300,03203,,,,,,6.5175603175
ARG,03200353,ARG07,0320200,03202,5.0,59.0,41.0,9.0,1.0,8.9888716847
ARG,03200354,ARG02,0320100,03201,,,,,,3.6949426471
ARG,03200355,ARG02,0320100,03201,5.0,44.0,56.0,9.0,2.0,2.8714982857
ARG,03200356,ARG01,0320100,03201,,,,,,4.0138492063
ARG,03200357,ARG02,0320100,03201,5.0,40.0,60.0,4.0,2.0,9.8531803922
ARG,03200358,ARG03,0320000,03200,,,,,,19.6879348
ARG,03200359,ARG19,0320300,03203,2.0,57.0,43.0,5.0,1.0,4.8306623529
ARG,03200360,ARG02,0320100,03201,5.0,58.0,42.0,9.0,2.0,1.0
ARG,03200361,ARG09,0320000,03200,5.0,63.0,37.0,5.0,1.0,12.7810621
ARG,03200362,ARG07,0320200,03202,2.0,69.0,31.0,6.0,1.0,12.8953375
ARG,03200363,ARG07,0320200,03202,1.0,48.0,52.0,4.0,1.0,20.63254
ARG,03200364,ARG13,0320000,03200,4.0,44.0,56.0,9.0,1.0,8.6218892023
ARG,03200365,ARG03,0320000,03200,4.0,47.0,53.0,9.0,1.0,23.397255849
ARG,03200366,ARG04,0320000,03200,4.0,42.0,58.0,9.0,2.0,46.328326207
ARG,03200367,ARG01,0320100,03201,5.0,69.0,31.0,5.0,1.0,1.9451730769
ARG,03200368,ARG07,0320200,03202,5.0,28.0,72.0,5.0,1.0,13.643823093
ARG,03200369,ARG07,0320200,03202,2.0,53.0,47.0,5.0,1.0,20.63254
ARG,03200370,ARG08,0320200,03202,5.0,43.0,57.0,5.0,2.0,21.717742857
ARG,03200371,ARG17,0320000,03200,6.0,40.0,60.0,9.0,1.0,24.197097255
ARG,03200372,ARG19,0320300,03203,,,,,,4.0654089109
ARG,03200373,ARG19,0320300,03203,1.0,43.0,57.0,9.0,1.0,23.463217143
ARG,03200374,ARG13,0320000,03200,5.0,47.0,53.0,4.0,1.0,29.205678739
ARG,03200375,ARG07,0320200,03202,1.0,58.0,42.0,2.0,1.0,48.24226744
ARG,03200376,ARG07,0320200,03202,1.0,50.0,50.0,1.0,1.0,41.26508
ARG,03200377,ARG07,0320200,03202,5.0,49.0,51.0,9.0,1.0,3.7090004524
ARG,03200378,ARG20,0320300,03203,4.0,47.0,53.0,9.0,2.0,5.6455479452
ARG,03200379,ARG07,0320200,03202,1.0,45.0,55.0,2.0,1.0,20.63254
ARG,03200380,ARG11,0320000,03200,3.0,53.0,47.0,9.0,1.0,118.98815115
ARG,03200381,ARG06,0320000,03200,4.0,49.0,51.0,7.0,2.0,114.29674536
ARG,03200382,ARG17,0320000,03200,4.0,56.0,44.0,9.0,1.0,31.456226431
ARG,03200383,ARG07,0320200,03202,2.0,43.0,57.0,9.0,1.0,20.106686663
ARG,03200384,ARG01,0320100,03201,5.0,48.0,52.0,3.0,1.0,3.5121180556
ARG,03200385,ARG02,0320100,03201,5.0,43.0,57.0,3.0,2.0,10.25535102
ARG,03200386,ARG06,0320000,03200,4.0,100.0,0.0,3.0,2.0,127.35923054
ARG,03200387,ARG20,0320300,03203,1.0,47.0,53.0,4.0,2.0,7.9254807692
ARG,03200388,ARG05,0320000,03200,3.0,46.0,54.0,4.0,1.0,109.54279277
ARG,03200389,ARG19,0320300,03203,,,,,,5.7028652778
ARG,03200390,ARG07,0320200,03202,3.0,87.0,13.0,3.0,1.0,4.8793168919
ARG,03200391,ARG08,0320200,03202,2.0,44.0,56.0,6.0,2.0,10.557236111
ARG,03200392,ARG07,0320200,03202,2.0,48.0,52.0,9.0,1.0,10.941498485
ARG,03200393,ARG13,0320000,03200,4.0,54.0,46.0,9.0,1.0,17.335991123
ARG,03200394,ARG01,0320100,03201,6.0,46.0,54.0,9.0,1.0,6.1676219512
ARG,03200395,ARG15,0320000,03200,4.0,52.0,48.0,9.0,1.0,25.665927419
ARG,03200396,ARG04,0320000,03200,4.0,40.0,60.0,9.0,2.0,49.136103553
ARG,03200397,ARG08,0320200,03202,1.0,46.0,54.0,2.0,2.0,21.717742857
ARG,03200398,ARG08,0320200,03202,5.0,48.0,52.0,5.0,2.0,11.516984848
ARG,03200399,ARG04,0320000,03200,3.0,54.0,46.0,9.0,2.0,75.418205454
ARG,03200400,ARG13,0320000,03200,4.0,36.0,64.0,9.0,1.0,16.128509155
ARG,03200401,ARG19,0320300,03203,,,,,,3.4797144068
ARG,03200402,ARG07,0320200,03202,5.0,49.0,51.0,6.0,1.0,7.208057483
ARG,03200403,ARG19,0320300,03203,4.0,88.0,12.0,5.0,1.0,2.3598063218
ARG,03200404,ARG04,0320000,03200,3.0,43.0,57.0,5.0,2.0,92.656652414
ARG,03200405,ARG04,0320000,03200,4.0,56.0,44.0,3.0,2.0,92.656652414
ARG,03200406,ARG20,0320300,03203,2.0,38.0,63.0,9.0,2.0,5.6455479452
ARG,03200407,ARG19,0320300,03203,2.0,71.0,29.0,1.0,1.0,2.2685430939
ARG,03200408,ARG05,0320000,03200,3.0,34.0,66.0,5.0,1.0,31.685931792
ARG,03200409,ARG02,0320100,03201,5.0,33.0,67.0,9.0,2.0,14.357491429
ARG,03200410,ARG05,0320000,03200,3.0,66.0,34.0,9.0,1.0,25.058808803
ARG,03200411,ARG03,0320000,03200,3.0,53.0,47.0,4.0,1.0,44.844740377
ARG,03200412,ARG12,0320000,03200,4.0,52.0,48.0,9.0,2.0,29.747983871
